"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3541","Guest can go to Login page from Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1745","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1656","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","4524","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1734","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2023","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2170","Authorized user can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2129","Guest can add product to basket","tests","2026-06-17","skipped","2026-06-17","TestProductPage","test_product_page","",""
"","6616","Empty basket opened from Product page has no products","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","4525","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2020","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2574","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2011","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
